date_time,0460e71d-3f0d-438d-b408-575af7df8aa3,1c5ee606-1f1e-4403-ba34-89af7a4f39ad,240c35d1-842b-4d6c-a5dd-c778e84a07d3,2bd8dc60-d7da-4f63-b808-4b8b0ac75404,2cb8abc4-7483-407e-a41d-ab65bfb81997,33feea96-a4ad-4350-8836-f3a66bf898dc,3709bd45-b735-42c3-ba78-d6a6bdcaa7d7,3872baf6-69b1-4602-81cb-cb68b34483ae,499d2422-8e91-4c85-add1-28d6dcad25bb,565282f5-1ae2-4a88-b432-71fa038a5510,695e2b68-e895-4523-9ed0-07bee6d42876,695e88f0-a9c2-4f92-b2cb-d13161ca86e9,70cba9a0-11c5-4f2b-97a6-481551ca4bd9,762a2059-035c-4aec-bc73-6f9b8113ac9a,77cbddce-e581-4527-a48a-9016227fe791,7d4351a1-6b5d-44b0-861a-607a5f0af837,80587d4e-3161-42de-a484-85748fd1daf4,88080e75-9425-4d30-b1a3-2e1c95921bc6,8d6db1c8-0187-42fd-8db8-4dd9dad511bc,8f5e0c95-0862-4bdd-a20f-476f017912c8,967735d2-a9af-461d-9b24-6102f010da7f,9d2da6c9-be46-4749-a227-aa54fa9dd722,a01bcb46-01a4-4f1d-895d-826a30930ba1,ad21eb2d-9eab-429f-98c5-d287d6c82e15,b3ebaf0e-409a-4496-bc3a-500a9ee4294f,d8e2bb2d-550f-4421-bf32-8b68e4c91d35,d996e352-5a6d-46ab-b539-52eaf5f82c4d,da02b813-77a5-4217-8ffd-5ae18f1eaab4,da67d58e-7958-430c-84b5-bbb4590de63c,db1db795-134f-4a7d-9402-45898b515676,e031eb89-fa92-496c-bb7a-fbc7882f6599,fdb31475-3c23-472a-b1ba-4c3349109ac4,fe7ad7ab-d1ba-4b90-be30-1ef7659980cc
01/01/2021 10:00,-0.003347473,0.06565774,-0.033567677,0.234508829,0.076654249,-0.058428028,0.057568426,0.133063765,-0.033515882,-0.025404324,0.007491747,0.076106029,-0.023793905,-0.184695312,0.132944743,0.052615723,0.010218926,0.035258039,0.020049193,0.003754909,0.032228434,0.113908948,-0.09224003,0.055541462,-0.021795657,0.004879471,-0.052857573,-0.014628887,-0.023558859,-0.001188321,-0.097700081,0.023257583,0.051821053
01/01/2021 10:30,-0.00018739,0.068825702,-0.02002575,0.218289713,0.089329431,-0.056751776,0.068421411,0.156819451,-0.039824754,-0.009448562,0.006335369,0.112570484,-0.00794834,-0.171204701,0.114817555,0.053121082,0.002483767,0.044423026,0.020708484,0.010260401,0.032623511,0.151250654,-0.104241553,0.071101189,-0.029525306,0.012198678,-0.023091794,-0.01848524,-0.015660807,-0.014259846,-0.032631472,0.012791248,0.016705715
01/01/2021 11:00,-0.039573431,0.076625087,-0.015635276,0.261855705,0.08432677,-0.051917502,0.084919501,0.157901271,-0.038159912,-0.010226892,-0.001087193,0.072511542,-0.016646363,-0.171494272,0.133819973,0.057717912,0.002403931,0.030114781,0.009407568,0.005193536,0.048278451,0.156221873,-0.07057132,0.042155022,-0.031548681,0.014444012,-0.017632144,-0.024663176,-0.033224249,-0.016551607,-0.053999932,0.021879544,0.033318825
01/01/2021 11:30,-0.004267389,0.069238914,-0.022610017,0.254482606,0.081248891,-0.038488965,0.070121744,0.210795137,-0.03645126,-0.012697637,0.009221372,0.059215346,-0.014848828,-0.166120172,0.109701519,0.044520248,-4.44E-05,0.038079383,0.019913954,0.01570728,0.043636292,0.194170591,-0.068448429,0.05682683,-0.019807779,0.033991058,-0.010375278,-0.030714834,-0.018400602,-0.005592651,-0.036526632,0.037908762,0.045199885
01/01/2021 12:00,0.00177169,0.059468161,-0.007234094,0.256943144,0.08408728,-0.042072996,0.082403008,0.183217614,-0.043723987,-0.014154743,0.013105616,0.049317729,-0.029390968,-0.175360899,0.115070199,0.069525837,0.005091722,0.042583019,0.043470911,0.000108576,0.056555321,0.151302983,-0.0883241,0.050721329,-0.039615559,0.021734059,-0.015834928,-0.074572353,-0.023618052,-0.011807756,-0.04664053,0.027171891,0.031114856
01/01/2021 12:30,0.004258871,0.082065718,-0.009873936,0.231409743,0.070046124,-0.045657026,0.060833066,0.220318693,-0.056920044,-0.009466663,0.021654905,0.042631301,-0.025404019,-0.18054763,0.12144043,0.080050925,-0.00133946,0.041496539,0.022931476,0.002370569,0.046579618,0.210465725,-0.092882818,0.050882,-0.040423134,0.00778577,-0.042219999,-0.054970033,-0.030864981,-0.014429606,-0.057328985,0.031196104,0.045774028
01/01/2021 13:00,0.005195823,0.113065262,-0.004131121,0.237131132,0.089249601,-0.042749053,0.066604483,0.201590806,-0.080893757,-0.013358312,0.028731542,0.033287338,-0.023095337,-0.172865477,0.074466741,0.095036784,-0.005668311,0.0274862,0.030251291,-0.002090082,0.027359106,0.184939822,-0.090125597,0.027085765,-0.054072043,0.0062014,-0.028901173,-0.049326352,-0.023186788,-0.036064584,-0.032606124,0.007228366,0.036522915
01/01/2021 13:30,0.019675985,0.092731765,0.000481655,0.30617944,0.073425581,-0.07269006,0.057422683,0.213960788,-0.0923023,-0.014887821,0.012423649,0.018543125,-0.027968275,-0.178648384,0.09214278,0.098185564,-0.017208956,0.023490756,0.032305235,-0.013761966,0.011842443,0.21696494,-0.094159936,0.020921068,-0.049759059,0.015824261,-0.030465236,-0.058544688,-0.038331769,-0.030745435,-0.046327903,0.022488249,0.051459898
01/01/2021 14:00,0.01388392,0.092301335,-0.01401432,0.328417934,0.066276388,-0.095092564,0.045549499,0.286052513,-0.099636364,-0.023612356,-0.007343494,0.016567009,-0.030302514,-0.16985053,0.073952431,0.061090216,-0.01845971,0.033120126,0.016034283,-0.003157742,0.015891986,0.246007326,-0.095513173,0.02509006,-0.031167079,0.0093507,-0.059298406,-0.044304351,-0.028040623,-0.044835521,-0.043159389,0.021338474,0.058488522
01/01/2021 14:30,0.061472547,0.078846104,-0.011726457,0.275316294,0.054284194,-0.070837848,0.033005898,0.218571821,-0.067907996,-0.031839121,-0.016811955,0.019224545,-0.045389878,-0.162917855,0.081649042,0.062130091,-0.02159103,0.027056865,0.018215013,-0.009120356,0.018716789,0.202229199,-0.0930266,0.017403217,-0.034193268,0.017797434,-0.079670089,-0.055679136,-0.033122775,-0.045476837,-0.032572327,0.048299009,0.060831396
